# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1631000 106 96 120 126.59
1632000 106 96 120 127.41
1633000 106 96 120 128
1634000 106 96 120 128
1635000 106 96 120 128.3
1636000 106 96 120 129
1637000 106 96 120 129.66
1638000 106 96 120 130
1639000 106 96 120 130
1640000 106 96 120.89 130
1641000 106 96 121 130.17
1642000 106 96 121 131
1643000 106 96 121 131
1644000 106 96 121.54 131
1645000 106 96 122 131
1646000 106 96 122 131
1647000 106.07 96 122 131.89
1648000 107 96.14 122 133
1649000 107.2 97 122 133
1650000 108 97 122 133.61
1651000 108 97 122 134
1652000 108 97 122 134
1653000 108 97 122 134.53
1654000 108 97.14 122 135
1655000 108 98 122 135
1656000 108 98 122 135
1657000 108 98 122 135
1658000 108 98 122 135
1659000 108 98 122 135.79
1660000 108.44 98 122 136
1661000 109 98 122 136
1662000 109 98 122 136
1663000 109 98 122 136.34
1664000 109 98 122 137
1665000 109 98.67 122 137
1666000 109 99 122 137
1667000 109 99 122 137
1668000 109 99 122.76 137
1669000 109.57 99 123 137
1670000 110 99 123 137
1671000 110 99 123 137
1672000 110 99 123 137
1673000 110 99 123 137
1674000 110 99 123 137
1675000 110.62 99 123 137
1676000 111 99 123 137
1677000 111 99.18 123 137
1678000 111 100 123 137
1679000 111 100 123 137
1680000 111 100 123 137
1681000 111.1 100 123 137
1682000 112 100 123.43 137
1683000 112 100 124 137
1684000 112 100.12 124 137
1685000 112 101 124 137
1686000 112 101 124 137
1687000 112 101 124 137
1688000 112 101 124 137
1689000 112 101 124 137.81
1690000 112 101.9 124 138
1691000 112 102 124 138
1692000 112.12 102 124.84 138
1693000 113 102 125 138
1694000 113 102 125.8 138
1695000 113 102 126 138
1696000 113 102 126 138
1697000 113 102 127 138
1698000 113 102 127 138
1699000 113 102 127 138
1700000 113 102 127 138
1701000 113 102 127 138.34
1702000 113 102 127 139
1703000 113 102 127 139.65
1704000 113 102 127 140
1705000 113 102.9 127 140
1706000 113 103 127 140.08
1707000 113 103 127 141
1708000 113 103 127 141
1709000 113 103 127 141
1710000 113 103.29 127 141
1711000 113 104 127 141
1712000 113 104 127 141
1713000 113 104 127 141
1714000 113 104 127 141
1715000 113 104 127.09 141.75
1716000 113 104.49 128 142
1717000 113 105 128 142
1718000 113 105 128 142
1719000 113 105 128 142
1720000 113 105 128.72 142.14
1721000 113.75 105.52 129 143
1722000 114 106 129 143.68
1723000 114 106.49 129 144
1724000 114 107 129 144
1725000 114 107 129 144
1726000 114 107 129 144
1727000 114 107 129 144
1728000 114 107 129.06 144
1729000 114 107.32 130 144.38
1730000 114 108 130 145
1731000 114 108 130 145.15
1732000 114 108 130 146
1733000 114 108.38 130 146.25
1734000 114 110 130.4 147
1735000 114 110 131 147
1736000 114 110 131 147
1737000 114 110 131 147
1738000 114 110 131 147.67
1739000 114 110 131 148
1740000 114 110 131 148
1741000 114 110 131 148
1742000 114.16 110 131 148
1743000 115 110 131.73 148
1744000 115 110 132 148
1745000 115.54 110 132 148
1746000 116 110 132 148
1747000 116 110 132 148.2
1748000 116 110 132 149
1749000 116 110 132 149
1750000 116 110 132 149.06
1751000 116 110 132 150
1752000 116 110 132 150
1753000 116 110 132 150.78
1754000 116 110 132 151
1755000 116 110 132 151
1756000 116 110 132 151
1757000 116 110 132 151.04
1758000 116.26 110 132 152
1759000 117 110 132 152
1760000 117 110 132.06 152
1761000 117 110 133 152
1762000 117 110 134.54 152
1763000 117 110 135 152
1764000 117 110 135 152
1765000 117 110 135 152
1766000 117 110 135 152.4
1767000 117 110 135 153
1768000 117 110 135.83 153
1769000 117 110 136 153
1770000 117 110 136 153.46
1771000 117 110 136 154
1772000 117 110 136 154.08
1773000 117 110 136 155
1774000 117 110 136 155
1775000 117.47 110 136 155.49
1776000 118 110.33 136 156
1777000 118 111 136 156
1778000 118 111 136.92 156
1779000 118 111 137 156
1780000 118 111 137 156
1781000 118 111 137 156
1782000 118 111 137.97 156
1783000 118 111 138 156
1784000 118 111 138 156
1785000 118 111.79 138.35 156
1786000 118 112 140 156
1787000 118.72 112.09 140.35 156
1788000 119 113 141 156
1789000 119 113 141 156
1790000 119 113 141 156.19
1791000 119 113 141.76 157
1792000 119 113 142 157
1793000 119 113 142 157
1794000 119.87 113 142 157
1795000 120 113 142 157
1796000 120 113 142 157
1797000 120 113 142 157.43
1798000 120 113 142 158
1799000 120 113 142 158
1800000 120 113 142 158
1801000 120.45 113 142 158.92
1802000 121 113 142 159
1803000 121 113 142 159
1804000 121 113 142 159
1805000 121 113 142 159
1806000 121 113.46 142 159
1807000 121 114 142 159
1808000 121 114 142 159
1809000 121 114 142 159
1810000 121 114 142 159
1811000 121 114 142 159
1812000 121 114.16 142.35 159
1813000 121 115 144 159
1814000 121 115.84 144 159
1815000 121 116 144 159
1816000 121 116 144 159
1817000 121 116 144.46 159
1818000 121 116 145 159
1819000 121 116 145 159
1820000 121 116 145 159.83
1821000 121 116 145 160
1822000 121 116 145 160
1823000 121 116 145 160.47
1824000 121 116 145 161.87
1825000 121 116 145 162
1826000 121 116 145 162
1827000 121 116 145 162.24
1828000 121 116 145 163
1829000 121.27 116 145 163
1830000 122 116 145 163
1831000 122 116 145.99 163
1832000 122 116 146 163
1833000 122 116 146 163.95
1834000 122 116 146 164
1835000 122 116 146 164
1836000 122 116 146 164
1837000 122 116 146 164
1838000 122 116 146 164
1839000 122 116 146 164
1840000 122 116 146 164
1841000 122 116 146.03 164
1842000 122 116 147.39 164
1843000 122 116 149 164
1844000 122 116 149.86 164
1845000 122 116 150 164
1846000 122 116 150.6 164.19
1847000 122 116 151 165
1848000 122 116 151 165
1849000 122.8 116 151 165
1850000 123 116 151 165
1851000 123 116 151 165
1852000 123.06 116 151 165
1853000 124 116 151 165
